,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,version,view_history,switching
0,32267,25,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-27.0,,-1.0,1540.98,1.0,0.6,1.0,0.6,0.0,0.4,0.0,0.4,False,,5f5f7ca62445b10428933069,,828423,25,,evan-feature22,full_pf_a,,0
1,32268,26,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-28.0,,0.0,1038.36,0.0,0.608053294,1.0,0.63424552,0.0,0.397152172,0.0,0.347069101,False,,5f5f7ca62445b10428933069,,839235,26,,evan-feature22,full_pf_a,,1
2,32269,27,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-29.0,,0.0,495.5950002,1.0,0.642237155,0.0,0.648566321,0.0,0.389407674,1.0,0.285525717,False,,5f5f7ca62445b10428933069,,849509,27,,evan-feature22,full_pf_a,,1
3,32270,28,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-30.0,,-1.0,394.76499989999996,1.0,0.661086576,1.0,0.630492543,1.0,0.399058924,0.0,0.25,False,,5f5f7ca62445b10428933069,,859681,28,,evan-feature22,full_pf_a,,0
4,32271,29,,,,1,1,0.0,0.0,0.0,-1.0,,0.0-31.0,,0.0,1331.265,0.0,0.631324137,0.0,0.6269842929999999,0.0,0.38734784299999997,1.0,0.25,False,,5f5f7ca62445b10428933069,,870795,29,,evan-feature22,full_pf_a,,0
5,32272,30,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-32.0,,0.0,661.0600003,0.0,0.6381991370000001,1.0,0.68987999,0.0,0.384107265,0.0,0.271332943,False,,5f5f7ca62445b10428933069,,881239,30,,evan-feature22,full_pf_a,,1
6,32273,31,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-33.0,,-1.0,981.4849998999999,1.0,0.66034901,1.0,0.742641349,0.0,0.360225629,1.0,0.25,False,,5f5f7ca62445b10428933069,,892023,31,,evan-feature22,full_pf_a,,0
7,32274,32,,,,1,1,0.0,0.0,1.0,0.0,,0.0-34.0,,0.0,703.3500001,0.0,0.638612418,0.0,0.75,0.0,0.367273939,0.0,0.25,False,,5f5f7ca62445b10428933069,,902501,32,,evan-feature22,full_pf_a,,1
8,32275,33,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-35.0,,0.0,1584.735,1.0,0.624340629,1.0,0.75,1.0,0.425829545,0.0,0.25,False,,5f5f7ca62445b10428933069,,913865,33,,evan-feature22,full_pf_a,,1
9,32276,34,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-36.0,,-1.0,2601.375,1.0,0.621999804,1.0,0.75,0.0,0.368609357,0.0,0.25,False,,5f5f7ca62445b10428933069,,926255,34,,evan-feature22,full_pf_a,,1
10,32277,35,,,,1,1,1.0,1.0,1.0,0.0,,0.0-37.0,,1.0,519.0400002,1.0,0.62666403,1.0,0.75,0.0,0.311151498,0.0,0.25,False,,5f5f7ca62445b10428933069,,936561,35,,evan-feature22,full_pf_a,,0
11,32278,36,,,,2,2,1.0,0.0,1.0,0.0,,0.0-38.0,,1.0,791.7999998,0.0,0.6819650009999999,1.0,0.75,1.0,0.310763048,0.0,0.25,False,,5f5f7ca62445b10428933069,,947139,36,,evan-feature22,full_pf_a,,1
12,32279,37,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-39.0,,-1.0,3272.665,1.0,0.740626951,1.0,0.75,0.0,0.25,1.0,0.25,False,,5f5f7ca62445b10428933069,,960200,37,,evan-feature22,full_pf_a,,1
13,32280,38,,,,SLOW,SLOW,,,0.0,-1.0,,0.0-40.0,,-3.0,,1.0,0.739599242,0.0,0.742034978,0.0,0.25397114600000004,0.0,0.25,False,,5f5f7ca62445b10428933069,,966014,38,,evan-feature22,full_pf_a,,1
14,32281,39,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-41.0,,0.0,411.9950002,1.0,0.732341315,0.0,0.72735643,0.0,0.25,0.0,0.25,False,,5f5f7ca62445b10428933069,,976199,39,,evan-feature22,full_pf_a,,1
15,32282,40,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-42.0,,0.0,630.3900001000001,1.0,0.7062287770000001,0.0,0.75,1.0,0.29002151,1.0,0.288256649,False,,5f5f7ca62445b10428933069,,986611,40,,evan-feature22,full_pf_a,,1
16,32283,41,,,,2,2,1.0,1.0,1.0,0.0,,0.0-43.0,,1.0,586.7149998,1.0,0.7086029209999999,1.0,0.75,1.0,0.274129113,1.0,0.262851608,False,,5f5f7ca62445b10428933069,,996980,41,,evan-feature22,full_pf_a,,1
17,32284,42,,,,1,1,0.0,1.0,0.0,-1.0,,0.0-44.0,,-1.0,737.7900002,0.0,0.669189651,1.0,0.727614338,0.0,0.298444036,0.0,0.296944518,False,,5f5f7ca62445b10428933069,,1007504,42,,evan-feature22,full_pf_a,,1
18,32285,43,,,,1,1,1.0,0.0,1.0,0.0,,0.0-45.0,,1.0,519.0850003,1.0,0.6819912929999999,0.0,0.7179434290000001,1.0,0.265003961,1.0,0.28157921199999997,False,,5f5f7ca62445b10428933069,,1017803,43,,evan-feature22,full_pf_a,,0
19,32286,44,,,,2,2,1.0,0.0,1.0,0.0,,0.0-46.0,,1.0,626.9350001,1.0,0.665275002,1.0,0.723065271,1.0,0.260414971,0.0,0.30973870000000003,False,,5f5f7ca62445b10428933069,,1028219,44,,evan-feature22,full_pf_a,,1
20,32287,45,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-47.0,,-1.0,2231.825,1.0,0.6660593260000001,0.0,0.728032907,0.0,0.30922817,1.0,0.338778608,False,,5f5f7ca62445b10428933069,,1040231,45,,evan-feature22,full_pf_a,,0
21,32288,46,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-48.0,,0.0,1415.64,1.0,0.702068785,1.0,0.6528750879999999,1.0,0.287329608,0.0,0.35789613200000003,False,,5f5f7ca62445b10428933069,,1051435,46,,evan-feature22,full_pf_a,,0
