,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,version,view_history,switching
0,18469,30,,,,1,1,1.0,1.0,1.0,0.0,,0.0-27.0,,1.0,2199.425,1.0,0.6,1.0,0.6,0.0,0.4,0.0,0.4,True,,5e21c6434238bd000bcff4a3,,480618,30,,evan-feature22,full_rf_a,,0
1,18470,31,,,,1,1,1.0,1.0,1.0,0.0,,0.0-28.0,,1.0,1416.87,1.0,0.608053294,1.0,0.63424552,0.0,0.397152172,0.0,0.347069101,True,,5e21c6434238bd000bcff4a3,,491852,31,,evan-feature22,full_rf_a,,0
2,18471,32,,,,1,1,0.0,1.0,1.0,0.0,,0.0-29.0,,0.0,598.245,0.0,0.642237155,1.0,0.648566321,0.0,0.389407674,0.0,0.285525717,True,,5e21c6434238bd000bcff4a3,,502252,32,,evan-feature22,full_rf_a,,0
3,18472,33,,,,1,1,1.0,0.0,1.0,0.0,,0.0-30.0,,1.0,401.4400002,1.0,0.661086576,0.0,0.630492543,0.0,0.399058924,0.0,0.25,True,,5e21c6434238bd000bcff4a3,,512474,33,,evan-feature22,full_rf_a,,0
4,18473,34,,,,SLOW,SLOW,,,0.0,-1.0,,0.0-31.0,,-3.0,,0.0,0.631324137,0.0,0.6269842929999999,0.0,0.38734784299999997,1.0,0.25,True,,5e21c6434238bd000bcff4a3,,518314,34,,evan-feature22,full_rf_a,,1
5,18474,35,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-32.0,,-1.0,1437.14,1.0,0.6381991370000001,0.0,0.68987999,0.0,0.384107265,1.0,0.271332943,True,,5e21c6434238bd000bcff4a3,,529552,35,,evan-feature22,full_rf_a,,1
6,18475,36,,,,1,1,1.0,1.0,1.0,0.0,,0.0-33.0,,1.0,592.2950003,1.0,0.66034901,1.0,0.742641349,0.0,0.360225629,0.0,0.25,True,,5e21c6434238bd000bcff4a3,,539979,36,,evan-feature22,full_rf_a,,1
7,18476,37,,,,1,1,0.0,1.0,1.0,0.0,,0.0-34.0,,0.0,593.2450001,0.0,0.638612418,1.0,0.75,0.0,0.367273939,1.0,0.25,True,,5e21c6434238bd000bcff4a3,,550384,37,,evan-feature22,full_rf_a,,0
8,18477,38,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-35.0,,-1.0,509.3100001,1.0,0.624340629,1.0,0.75,0.0,0.425829545,0.0,0.25,True,,5e21c6434238bd000bcff4a3,,560713,38,,evan-feature22,full_rf_a,,0
9,18478,39,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-36.0,,0.0,299.36000010000004,1.0,0.621999804,1.0,0.75,0.0,0.368609357,0.0,0.25,True,,5e21c6434238bd000bcff4a3,,570825,39,,evan-feature22,full_rf_a,,1
10,18479,40,,,,2,2,1.0,0.0,1.0,0.0,,0.0-37.0,,1.0,535.9700001,1.0,0.62666403,0.0,0.75,1.0,0.311151498,0.0,0.25,True,,5e21c6434238bd000bcff4a3,,581184,40,,evan-feature22,full_rf_a,,0
11,18480,41,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-38.0,,0.0,887.9500004,1.0,0.6819650009999999,1.0,0.75,0.0,0.310763048,0.0,0.25,True,,5e21c6434238bd000bcff4a3,,591911,41,,evan-feature22,full_rf_a,,0
12,18481,42,,,,1,1,1.0,1.0,1.0,0.0,,0.0-39.0,,1.0,1081.495,1.0,0.740626951,1.0,0.75,0.0,0.25,1.0,0.25,True,,5e21c6434238bd000bcff4a3,,602802,42,,evan-feature22,full_rf_a,,1
13,18482,43,,,,1,1,1.0,0.0,1.0,0.0,,0.0-40.0,,1.0,594.7949997999999,1.0,0.739599242,0.0,0.742034978,0.0,0.25397114600000004,0.0,0.25,True,,5e21c6434238bd000bcff4a3,,613196,43,,evan-feature22,full_rf_a,,0
14,18483,44,,,,1,1,1.0,1.0,1.0,0.0,,0.0-41.0,,1.0,543.7849997999999,1.0,0.732341315,1.0,0.72735643,0.0,0.25,0.0,0.25,True,,5e21c6434238bd000bcff4a3,,623574,44,,evan-feature22,full_rf_a,,0
15,18484,45,,,,1,1,1.0,1.0,1.0,0.0,,0.0-42.0,,1.0,579.2550002,1.0,0.7062287770000001,1.0,0.75,0.0,0.29002151,0.0,0.288256649,True,,5e21c6434238bd000bcff4a3,,633953,45,,evan-feature22,full_rf_a,,0
16,18485,46,,,,1,1,0.0,0.0,1.0,0.0,,0.0-43.0,,0.0,1045.035,0.0,0.7086029209999999,0.0,0.75,1.0,0.274129113,0.0,0.262851608,True,,5e21c6434238bd000bcff4a3,,644804,46,,evan-feature22,full_rf_a,,0
17,18486,47,,,,1,1,1.0,1.0,1.0,0.0,,0.0-44.0,,1.0,1600.85,1.0,0.669189651,1.0,0.727614338,1.0,0.298444036,0.0,0.296944518,True,,5e21c6434238bd000bcff4a3,,656226,47,,evan-feature22,full_rf_a,,0
18,18487,48,,,,1,1,1.0,1.0,1.0,0.0,,0.0-45.0,,1.0,1308.505,1.0,0.6819912929999999,1.0,0.7179434290000001,0.0,0.265003961,1.0,0.28157921199999997,True,,5e21c6434238bd000bcff4a3,,667348,48,,evan-feature22,full_rf_a,,0
19,18488,49,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-46.0,,-1.0,375.9250003,1.0,0.665275002,1.0,0.723065271,0.0,0.260414971,0.0,0.30973870000000003,True,,5e21c6434238bd000bcff4a3,,677543,49,,evan-feature22,full_rf_a,,0
20,18489,50,,,,2,2,0.0,0.0,1.0,0.0,,0.0-47.0,,0.0,451.98500020000006,1.0,0.6660593260000001,0.0,0.728032907,0.0,0.30922817,0.0,0.338778608,True,,5e21c6434238bd000bcff4a3,,687813,50,,evan-feature22,full_rf_a,,1
21,18490,51,,,,1,1,1.0,0.0,1.0,0.0,,0.0-48.0,,1.0,735.3050001,1.0,0.702068785,0.0,0.6528750879999999,0.0,0.287329608,0.0,0.35789613200000003,True,,5e21c6434238bd000bcff4a3,,698376,51,,evan-feature22,full_rf_a,,1
22,18491,52,,,,1,1,1.0,1.0,1.0,0.0,,0.0-49.0,,1.0,684.7450002,1.0,0.651939787,1.0,0.636725589,0.0,0.284834488,1.0,0.358563756,True,,5e21c6434238bd000bcff4a3,,708854,52,,evan-feature22,full_rf_a,,0
23,18492,53,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-50.0,,0.0,503.4599998,0.0,0.67573929,1.0,0.612550049,0.0,0.37130387600000003,0.0,0.383542402,True,,5e21c6434238bd000bcff4a3,,719170,53,,evan-feature22,full_rf_a,,1
24,18493,54,,,,2,2,1.0,1.0,0.0,-1.0,,0.0-51.0,,-1.0,680.3100002,0.0,0.620753801,1.0,0.60513644,1.0,0.385529434,1.0,0.340361743,True,,5e21c6434238bd000bcff4a3,,729689,54,,evan-feature22,full_rf_a,,0
25,18494,55,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-52.0,,0.0,605.6550001,1.0,0.673564893,1.0,0.672437924,0.0,0.292955382,0.0,0.337633795,True,,5e21c6434238bd000bcff4a3,,740119,55,,evan-feature22,full_rf_a,,0
26,18495,56,,,,1,1,0.0,1.0,1.0,0.0,,0.0-53.0,,0.0,762.0999999,0.0,0.6749427,1.0,0.724197502,0.0,0.32391132100000003,0.0,0.350995264,True,,5e21c6434238bd000bcff4a3,,750697,56,,evan-feature22,full_rf_a,,1
27,18496,57,,,,1,1,0.0,0.0,1.0,0.0,,0.0-54.0,,0.0,621.6549999,0.0,0.6940159379999999,0.0,0.75,0.0,0.31710554399999996,1.0,0.413450341,True,,5e21c6434238bd000bcff4a3,,761115,57,,evan-feature22,full_rf_a,,0
