,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,version,view_history,switching
0,43527,25,,,,1,1,0.0,1.0,-1.0,0.0,,0.0-27.0,,0.0,1985.0,0.0,0.6,1.0,0.6,0.0,0.4,1.0,0.4,False,,55ba0babfdf99b09bd1bec17,,1060906,25,,evan-feature22,full_pf_b,,0
1,43528,26,,,,2,2,0.0,1.0,-1.0,0.0,,0.0-28.0,,0.0,1278.0,1.0,0.608053294,0.0,0.63424552,0.0,0.397152172,1.0,0.347069101,False,,55ba0babfdf99b09bd1bec17,,1072002,26,,evan-feature22,full_pf_b,,1
2,43529,27,,,,2,2,0.0,0.0,-1.0,0.0,,0.0-29.0,,0.0,1032.0,1.0,0.642237155,1.0,0.648566321,0.0,0.389407674,0.0,0.285525717,False,,55ba0babfdf99b09bd1bec17,,1082861,27,,evan-feature22,full_pf_b,,0
3,43530,28,,,,2,2,1.0,1.0,-1.0,0.0,,0.0-30.0,,-1.0,1154.0,1.0,0.661086576,0.0,0.630492543,1.0,0.399058924,1.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1093828,28,,evan-feature22,full_pf_b,,0
4,43531,29,,,,2,2,0.0,1.0,0.0,1.0,,0.0-31.0,,1.0,1012.0,1.0,0.631324137,1.0,0.6269842929999999,0.0,0.38734784299999997,1.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1104662,29,,evan-feature22,full_pf_b,,0
5,43532,30,,,,2,2,1.0,0.0,0.0,1.0,,0.0-32.0,,0.0,935.0,1.0,0.6381991370000001,1.0,0.68987999,1.0,0.384107265,0.0,0.271332943,False,,55ba0babfdf99b09bd1bec17,,1115406,30,,evan-feature22,full_pf_b,,0
6,43533,31,,,,2,2,0.0,1.0,-1.0,0.0,,0.0-33.0,,0.0,912.0,1.0,0.66034901,0.0,0.742641349,0.0,0.360225629,1.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1126134,31,,evan-feature22,full_pf_b,,0
7,43534,32,,,,2,2,0.0,1.0,-1.0,0.0,,0.0-34.0,,0.0,1244.0,1.0,0.638612418,0.0,0.75,0.0,0.367273939,1.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1137188,32,,evan-feature22,full_pf_b,,0
8,43535,33,,,,2,2,1.0,0.0,0.0,1.0,,0.0-35.0,,0.0,1488.0,1.0,0.624340629,1.0,0.75,1.0,0.425829545,0.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1148489,33,,evan-feature22,full_pf_b,,0
9,43536,34,,,,2,2,0.0,0.0,0.0,1.0,,0.0-36.0,,0.0,816.0,1.0,0.621999804,0.0,0.75,0.0,0.368609357,0.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1159105,34,,evan-feature22,full_pf_b,,0
10,43537,35,,,,2,2,0.0,0.0,-1.0,0.0,,0.0-37.0,,0.0,1247.0,1.0,0.62666403,1.0,0.75,0.0,0.311151498,0.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1170169,35,,evan-feature22,full_pf_b,,0
11,43538,36,,,,2,2,0.0,0.0,0.0,1.0,,0.0-38.0,,0.0,1491.0,1.0,0.6819650009999999,0.0,0.75,0.0,0.310763048,0.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1181477,36,,evan-feature22,full_pf_b,,0
12,43539,37,,,,2,2,0.0,1.0,-1.0,0.0,,0.0-39.0,,0.0,795.0,1.0,0.740626951,1.0,0.75,0.0,0.25,1.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1192093,37,,evan-feature22,full_pf_b,,0
13,43540,38,,,,2,2,1.0,1.0,-1.0,0.0,,0.0-40.0,,-1.0,1295.0,1.0,0.739599242,0.0,0.742034978,1.0,0.25397114600000004,1.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1203235,38,,evan-feature22,full_pf_b,,0
14,43541,39,,,,1,1,1.0,1.0,-1.0,0.0,,0.0-41.0,,-1.0,1603.0,1.0,0.732341315,1.0,0.72735643,0.0,0.25,1.0,0.25,False,,55ba0babfdf99b09bd1bec17,,1214663,39,,evan-feature22,full_pf_b,,1
15,43542,40,,,,1,1,0.0,1.0,-1.0,0.0,,0.0-42.0,,0.0,884.0,0.0,0.7062287770000001,1.0,0.75,1.0,0.29002151,0.0,0.288256649,False,,55ba0babfdf99b09bd1bec17,,1225362,40,,evan-feature22,full_pf_b,,0
16,43543,41,,,,1,1,1.0,1.0,-1.0,0.0,,0.0-43.0,,-1.0,1474.0,1.0,0.7086029209999999,1.0,0.75,0.0,0.274129113,0.0,0.262851608,False,,55ba0babfdf99b09bd1bec17,,1236638,41,,evan-feature22,full_pf_b,,0
17,43544,42,,,,1,1,0.0,1.0,-1.0,0.0,,0.0-44.0,,0.0,960.0,0.0,0.669189651,1.0,0.727614338,0.0,0.298444036,0.0,0.296944518,False,,55ba0babfdf99b09bd1bec17,,1247408,42,,evan-feature22,full_pf_b,,0
18,43545,43,,,,2,2,1.0,1.0,-1.0,0.0,,0.0-45.0,,-1.0,1437.0,0.0,0.6819912929999999,1.0,0.7179434290000001,1.0,0.265003961,1.0,0.28157921199999997,False,,55ba0babfdf99b09bd1bec17,,1258670,43,,evan-feature22,full_pf_b,,1
19,43546,44,,,,1,1,0.0,0.0,0.0,1.0,,0.0-46.0,,0.0,1256.0,0.0,0.665275002,0.0,0.723065271,1.0,0.260414971,0.0,0.30973870000000003,False,,55ba0babfdf99b09bd1bec17,,1269742,44,,evan-feature22,full_pf_b,,1
20,43547,45,,,,1,1,1.0,0.0,-1.0,0.0,,0.0-47.0,,-1.0,831.0,1.0,0.6660593260000001,0.0,0.728032907,1.0,0.30922817,0.0,0.338778608,False,,55ba0babfdf99b09bd1bec17,,1280379,45,,evan-feature22,full_pf_b,,0
21,43548,46,,,,2,2,0.0,1.0,-1.0,0.0,,0.0-48.0,,0.0,850.0,1.0,0.702068785,0.0,0.6528750879999999,0.0,0.287329608,1.0,0.35789613200000003,False,,55ba0babfdf99b09bd1bec17,,1291019,46,,evan-feature22,full_pf_b,,1
22,43549,47,,,,2,2,0.0,0.0,-1.0,0.0,,0.0-49.0,,0.0,1029.0,0.0,0.651939787,1.0,0.636725589,0.0,0.284834488,0.0,0.358563756,False,,55ba0babfdf99b09bd1bec17,,1301852,47,,evan-feature22,full_pf_b,,0
23,43550,48,,,,2,2,1.0,0.0,0.0,1.0,,0.0-50.0,,0.0,954.0,0.0,0.67573929,1.0,0.612550049,1.0,0.37130387600000003,0.0,0.383542402,False,,55ba0babfdf99b09bd1bec17,,1312617,48,,evan-feature22,full_pf_b,,0
24,43551,49,,,,1,1,1.0,0.0,0.0,1.0,,0.0-51.0,,0.0,1273.0,1.0,0.620753801,0.0,0.60513644,0.0,0.385529434,0.0,0.340361743,False,,55ba0babfdf99b09bd1bec17,,1323687,49,,evan-feature22,full_pf_b,,1
25,43552,50,,,,1,1,0.0,1.0,0.0,1.0,,0.0-52.0,,1.0,826.0,0.0,0.673564893,1.0,0.672437924,0.0,0.292955382,0.0,0.337633795,False,,55ba0babfdf99b09bd1bec17,,1334314,50,,evan-feature22,full_pf_b,,0
26,43553,51,,,,2,2,0.0,0.0,-1.0,0.0,,0.0-53.0,,0.0,1056.0,0.0,0.6749427,1.0,0.724197502,0.0,0.32391132100000003,0.0,0.350995264,False,,55ba0babfdf99b09bd1bec17,,1345168,51,,evan-feature22,full_pf_b,,1
