,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,version,view_history,switching
0,34270,25,,,,1,1,1.0,0.0,-1.0,0.0,,0.0-27.0,,-1.0,703.74,1.0,0.6,0.0,0.6,1.0,0.4,1.0,0.4,False,,5cf117aacfbe24001aafa2dd,,477509,25,,evan-feature22,full_pf_b,,0
1,34271,26,,,,2,2,0.0,0.0,-1.0,0.0,,0.0-28.0,,0.0,100.045,1.0,0.608053294,0.0,0.63424552,0.0,0.397152172,0.0,0.347069101,False,,5cf117aacfbe24001aafa2dd,,487440,26,,evan-feature22,full_pf_b,,1
2,34272,27,,,,2,2,0.0,0.0,-1.0,0.0,,0.0-29.0,,0.0,541.055,1.0,0.642237155,1.0,0.648566321,0.0,0.389407674,0.0,0.285525717,False,,5cf117aacfbe24001aafa2dd,,497822,27,,evan-feature22,full_pf_b,,0
3,34273,28,,,,1,1,0.0,1.0,-1.0,0.0,,0.0-30.0,,0.0,330.155,0.0,0.661086576,1.0,0.630492543,0.0,0.399058924,0.0,0.25,False,,5cf117aacfbe24001aafa2dd,,507985,28,,evan-feature22,full_pf_b,,1
4,34274,29,,,,1,1,1.0,1.0,0.0,1.0,,0.0-31.0,,1.0,342.365,1.0,0.631324137,1.0,0.6269842929999999,0.0,0.38734784299999997,0.0,0.25,False,,5cf117aacfbe24001aafa2dd,,518161,29,,evan-feature22,full_pf_b,,0
5,34275,30,,,,1,1,1.0,0.0,0.0,1.0,,0.0-32.0,,0.0,137.11,1.0,0.6381991370000001,0.0,0.68987999,0.0,0.384107265,0.0,0.271332943,False,,5cf117aacfbe24001aafa2dd,,528170,30,,evan-feature22,full_pf_b,,0
6,34276,31,,,,1,1,1.0,1.0,-1.0,0.0,,0.0-33.0,,-1.0,302.26,1.0,0.66034901,1.0,0.742641349,0.0,0.360225629,1.0,0.25,False,,5cf117aacfbe24001aafa2dd,,538310,31,,evan-feature22,full_pf_b,,0
7,34277,32,,,,2,2,0.0,0.0,-1.0,0.0,,0.0-34.0,,0.0,441.29,1.0,0.638612418,1.0,0.75,0.0,0.367273939,0.0,0.25,False,,5cf117aacfbe24001aafa2dd,,548577,32,,evan-feature22,full_pf_b,,1
8,34278,33,,,,2,2,1.0,0.0,0.0,1.0,,0.0-35.0,,0.0,320.86,1.0,0.624340629,1.0,0.75,1.0,0.425829545,0.0,0.25,False,,5cf117aacfbe24001aafa2dd,,558741,33,,evan-feature22,full_pf_b,,0
9,34279,34,,,,2,2,0.0,0.0,0.0,1.0,,0.0-36.0,,0.0,345.485,1.0,0.621999804,1.0,0.75,0.0,0.368609357,0.0,0.25,False,,5cf117aacfbe24001aafa2dd,,568901,34,,evan-feature22,full_pf_b,,0
