,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,version,view_history,switching
0,19200,25,,,,1,1,1.0,0.0,1.0,0.0,,0.0-27.0,,1.0,3528.11,1.0,0.6,0.0,0.6,0.0,0.4,0.0,0.4,True,,5f1de226b5c0873193a834ed,,797667,25,,evan-feature22,full_rf_a,,0
1,19201,26,,,,1,1,0.0,1.0,1.0,0.0,,0.0-28.0,,0.0,1477.155,0.0,0.608053294,1.0,0.63424552,0.0,0.397152172,0.0,0.347069101,True,,5f1de226b5c0873193a834ed,,808916,26,,evan-feature22,full_rf_a,,0
2,19202,27,,,,1,1,1.0,1.0,1.0,0.0,,0.0-29.0,,1.0,1271.74,1.0,0.642237155,1.0,0.648566321,1.0,0.389407674,0.0,0.285525717,True,,5f1de226b5c0873193a834ed,,819961,27,,evan-feature22,full_rf_a,,0
3,19203,28,,,,2,2,0.0,0.0,1.0,0.0,,0.0-30.0,,0.0,1674.785,1.0,0.661086576,0.0,0.630492543,0.0,0.399058924,0.0,0.25,True,,5f1de226b5c0873193a834ed,,831402,28,,evan-feature22,full_rf_a,,1
4,19204,29,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-31.0,,0.0,1846.93,1.0,0.631324137,0.0,0.6269842929999999,1.0,0.38734784299999997,0.0,0.25,True,,5f1de226b5c0873193a834ed,,843020,29,,evan-feature22,full_rf_a,,1
5,19205,30,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-32.0,,0.0,2983.59,1.0,0.6381991370000001,0.0,0.68987999,0.0,0.384107265,0.0,0.271332943,True,,5f1de226b5c0873193a834ed,,855769,30,,evan-feature22,full_rf_a,,1
6,19206,31,,,,1,1,0.0,1.0,1.0,0.0,,0.0-33.0,,0.0,2651.185,0.0,0.66034901,1.0,0.742641349,1.0,0.360225629,1.0,0.25,True,,5f1de226b5c0873193a834ed,,868192,31,,evan-feature22,full_rf_a,,1
7,19207,32,,,,2,2,0.0,0.0,1.0,0.0,,0.0-34.0,,0.0,2801.71,1.0,0.638612418,1.0,0.75,0.0,0.367273939,0.0,0.25,True,,5f1de226b5c0873193a834ed,,880760,32,,evan-feature22,full_rf_a,,1
8,19208,33,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-35.0,,-1.0,1461.215,1.0,0.624340629,1.0,0.75,1.0,0.425829545,0.0,0.25,True,,5f1de226b5c0873193a834ed,,891994,33,,evan-feature22,full_rf_a,,1
9,19209,34,,,,1,1,0.0,0.0,0.0,-1.0,,0.0-36.0,,0.0,1389.31,0.0,0.621999804,0.0,0.75,0.0,0.368609357,0.0,0.25,True,,5f1de226b5c0873193a834ed,,903148,34,,evan-feature22,full_rf_a,,0
10,19210,35,,,,2,2,0.0,0.0,1.0,0.0,,0.0-37.0,,0.0,2139.705,1.0,0.62666403,0.0,0.75,0.0,0.311151498,0.0,0.25,True,,5f1de226b5c0873193a834ed,,915065,35,,evan-feature22,full_rf_a,,1
11,19211,36,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-38.0,,-1.0,1859.58,1.0,0.6819650009999999,1.0,0.75,0.0,0.310763048,0.0,0.25,True,,5f1de226b5c0873193a834ed,,926700,36,,evan-feature22,full_rf_a,,1
12,19212,37,,,,2,2,0.0,0.0,1.0,0.0,,0.0-39.0,,0.0,1341.295,1.0,0.740626951,1.0,0.75,0.0,0.25,0.0,0.25,True,,5f1de226b5c0873193a834ed,,937810,37,,evan-feature22,full_rf_a,,1
13,19213,38,,,,2,2,0.0,1.0,1.0,0.0,,0.0-40.0,,0.0,2269.19,0.0,0.739599242,1.0,0.742034978,0.0,0.25397114600000004,1.0,0.25,True,,5f1de226b5c0873193a834ed,,949852,38,,evan-feature22,full_rf_a,,0
14,19214,39,,,,1,1,0.0,0.0,1.0,0.0,,0.0-41.0,,0.0,1400.98,0.0,0.732341315,0.0,0.72735643,0.0,0.25,0.0,0.25,True,,5f1de226b5c0873193a834ed,,961020,39,,evan-feature22,full_rf_a,,1
15,19215,40,,,,1,1,1.0,0.0,1.0,0.0,,0.0-42.0,,1.0,2067.94,1.0,0.7062287770000001,0.0,0.75,1.0,0.29002151,1.0,0.288256649,True,,5f1de226b5c0873193a834ed,,972861,40,,evan-feature22,full_rf_a,,0
16,19216,41,,,,1,1,0.0,1.0,1.0,0.0,,0.0-43.0,,0.0,2353.875,0.0,0.7086029209999999,1.0,0.75,0.0,0.274129113,0.0,0.262851608,True,,5f1de226b5c0873193a834ed,,984989,41,,evan-feature22,full_rf_a,,0
17,19217,42,,,,2,2,0.0,0.0,1.0,0.0,,0.0-44.0,,0.0,1122.66,0.0,0.669189651,0.0,0.727614338,0.0,0.298444036,0.0,0.296944518,True,,5f1de226b5c0873193a834ed,,995875,42,,evan-feature22,full_rf_a,,1
18,19218,43,,,,1,1,1.0,1.0,1.0,0.0,,0.0-45.0,,1.0,2456.685,1.0,0.6819912929999999,1.0,0.7179434290000001,1.0,0.265003961,0.0,0.28157921199999997,True,,5f1de226b5c0873193a834ed,,1008104,43,,evan-feature22,full_rf_a,,1
19,19219,44,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-46.0,,-1.0,3174.765,0.0,0.665275002,1.0,0.723065271,0.0,0.260414971,1.0,0.30973870000000003,True,,5f1de226b5c0873193a834ed,,1021053,44,,evan-feature22,full_rf_a,,1
20,19220,45,,,,1,1,0.0,0.0,1.0,0.0,,0.0-47.0,,0.0,1069.335,0.0,0.6660593260000001,0.0,0.728032907,0.0,0.30922817,0.0,0.338778608,True,,5f1de226b5c0873193a834ed,,1031890,45,,evan-feature22,full_rf_a,,1
21,19221,46,,,,1,1,1.0,1.0,1.0,0.0,,0.0-48.0,,1.0,2816.645,1.0,0.702068785,1.0,0.6528750879999999,0.0,0.287329608,1.0,0.35789613200000003,True,,5f1de226b5c0873193a834ed,,1044481,46,,evan-feature22,full_rf_a,,0
22,19222,47,,,,2,2,0.0,0.0,1.0,0.0,,0.0-49.0,,0.0,1764.63,1.0,0.651939787,0.0,0.636725589,0.0,0.284834488,0.0,0.358563756,True,,5f1de226b5c0873193a834ed,,1056012,47,,evan-feature22,full_rf_a,,1
23,19223,48,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-50.0,,-1.0,2884.37,1.0,0.67573929,1.0,0.612550049,0.0,0.37130387600000003,0.0,0.383542402,True,,5f1de226b5c0873193a834ed,,1068669,48,,evan-feature22,full_rf_a,,1
24,19224,49,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-51.0,,0.0,1540.33,0.0,0.620753801,1.0,0.60513644,1.0,0.385529434,0.0,0.340361743,True,,5f1de226b5c0873193a834ed,,1079980,49,,evan-feature22,full_rf_a,,1
25,19225,50,,,,1,1,0.0,1.0,0.0,-1.0,,0.0-52.0,,-1.0,1386.465,0.0,0.673564893,1.0,0.672437924,1.0,0.292955382,0.0,0.337633795,True,,5f1de226b5c0873193a834ed,,1091137,50,,evan-feature22,full_rf_a,,1
26,19226,51,,,,2,2,0.0,0.0,1.0,0.0,,0.0-53.0,,0.0,1178.065,1.0,0.6749427,1.0,0.724197502,0.0,0.32391132100000003,0.0,0.350995264,True,,5f1de226b5c0873193a834ed,,1102080,51,,evan-feature22,full_rf_a,,1
27,19227,52,,,,1,1,1.0,0.0,1.0,0.0,,0.0-54.0,,1.0,2095.205,1.0,0.6940159379999999,0.0,0.75,0.0,0.31710554399999996,1.0,0.413450341,True,,5f1de226b5c0873193a834ed,,1113949,52,,evan-feature22,full_rf_a,,1
28,19228,53,,,,SLOW,SLOW,,,1.0,0.0,,0.0-55.0,,-3.0,,1.0,0.6916018270000001,0.0,0.69001187,0.0,0.261817804,0.0,0.40038635,True,,5f1de226b5c0873193a834ed,,1119759,53,,evan-feature22,full_rf_a,,1
29,19229,54,,,,2,2,0.0,1.0,1.0,0.0,,0.0-56.0,,0.0,3620.305,1.0,0.641061544,1.0,0.71337992,0.0,0.277296461,1.0,0.47372791700000005,True,,5f1de226b5c0873193a834ed,,1133153,54,,evan-feature22,full_rf_a,,1
30,19230,55,,,,1,1,1.0,0.0,1.0,0.0,,0.0-57.0,,1.0,1679.8,1.0,0.6082438520000001,0.0,0.708471106,1.0,0.28745137,1.0,0.564174476,True,,5f1de226b5c0873193a834ed,,1144606,55,,evan-feature22,full_rf_a,,1
31,19231,56,,,,1,1,1.0,0.0,1.0,0.0,,0.0-58.0,,1.0,896.73,1.0,0.6051112120000001,0.0,0.7118147229999999,0.0,0.272390611,1.0,0.5595149939999999,True,,5f1de226b5c0873193a834ed,,1155276,56,,evan-feature22,full_rf_a,,0
