,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,view_history,switching
0,2882,29,,,,2,2,0.0,1.0,1.0,0.0,,0.0-26.0,,0.0,508.64,1.0,0.758395892,0.0,0.666783589,0.0,0.39893396600000003,1.0,0.29433458,True,,5c94ee77c70dc500019c7f0f,,552821,29,,evan-feature22,,0
1,2883,30,,,,2,2,0.0,1.0,1.0,0.0,,0.0-27.0,,0.0,1793.62,1.0,0.749113302,1.0,0.6410334639999999,0.0,0.374554754,1.0,0.32429597,True,,5c94ee77c70dc500019c7f0f,,564400,30,,evan-feature22,,0
2,2884,31,,,,1,1,1.0,1.0,1.0,0.0,,0.0-28.0,,1.0,359.58,1.0,0.7692293659999999,1.0,0.673489452,0.0,0.38936336299999996,1.0,0.40805484299999994,True,,5c94ee77c70dc500019c7f0f,,574551,31,,evan-feature22,,1
3,2885,32,,,,2,2,0.0,0.0,1.0,0.0,,0.0-29.0,,0.0,376.455,1.0,0.794299593,1.0,0.7056914559999999,0.0,0.452628219,0.0,0.42653274,True,,5c94ee77c70dc500019c7f0f,,582431,32,,evan-feature22,,1
4,2886,33,,,,1,1,0.0,1.0,0.0,-1.0,,0.0-30.0,,-1.0,339.46,0.0,0.8,1.0,0.7342765809999999,0.0,0.423370724,1.0,0.432069981,True,,5c94ee77c70dc500019c7f0f,,592556,33,,evan-feature22,,1
5,2887,34,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-31.0,,-1.0,493.725,1.0,0.77615632,1.0,0.671157041,1.0,0.457156974,1.0,0.464632121,True,,5c94ee77c70dc500019c7f0f,,602836,34,,evan-feature22,,0
6,2888,35,,,,2,2,1.0,0.0,1.0,0.0,,0.0-32.0,,1.0,241.685,1.0,0.760618163,1.0,0.6459397610000001,1.0,0.471572527,0.0,0.372324295,True,,5c94ee77c70dc500019c7f0f,,612857,35,,evan-feature22,,1
7,2889,36,,,,2,2,1.0,1.0,1.0,0.0,,0.0-33.0,,1.0,447.305,1.0,0.747676711,1.0,0.596965425,1.0,0.46128409299999995,1.0,0.348031934,True,,5c94ee77c70dc500019c7f0f,,623095,36,,evan-feature22,,0
8,2890,37,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-34.0,,-1.0,617.505,1.0,0.7589599690000001,1.0,0.576201125,1.0,0.508614774,0.0,0.366452805,True,,5c94ee77c70dc500019c7f0f,,633499,37,,evan-feature22,,1
9,2891,38,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-35.0,,-1.0,373.42,1.0,0.8,1.0,0.561117359,1.0,0.552349312,1.0,0.38521346,True,,5c94ee77c70dc500019c7f0f,,643654,38,,evan-feature22,,0
10,2892,39,,,,2,2,0.0,0.0,1.0,0.0,,0.0-36.0,,0.0,361.86,0.0,0.7713106559999999,0.0,0.61964539,0.0,0.596823475,0.0,0.42932164100000003,True,,5c94ee77c70dc500019c7f0f,,653801,39,,evan-feature22,,1
11,2893,40,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-37.0,,0.0,350.645,1.0,0.8,0.0,0.626226927,1.0,0.60332109,0.0,0.378687767,True,,5c94ee77c70dc500019c7f0f,,663937,40,,evan-feature22,,1
12,2894,41,,,,1,1,1.0,1.0,1.0,0.0,,0.0-38.0,,1.0,238.975,1.0,0.8,1.0,0.625397042,1.0,0.6178893529999999,0.0,0.385361015,True,,5c94ee77c70dc500019c7f0f,,673960,41,,evan-feature22,,0
13,2895,42,,,,2,2,1.0,1.0,1.0,0.0,,0.0-39.0,,1.0,697.51,1.0,0.8,0.0,0.634158766,1.0,0.593227747,1.0,0.347942274,True,,5c94ee77c70dc500019c7f0f,,684448,42,,evan-feature22,,1
14,2896,43,,,,2,2,0.0,1.0,1.0,0.0,,0.0-40.0,,0.0,804.715,1.0,0.780131997,0.0,0.63264508,0.0,0.554391083,1.0,0.40680791200000005,True,,5c94ee77c70dc500019c7f0f,,695038,43,,evan-feature22,,0
15,2897,44,,,,1,1,1.0,1.0,1.0,0.0,,0.0-41.0,,1.0,589.205,1.0,0.8,1.0,0.648202298,1.0,0.515718575,0.0,0.427451178,True,,5c94ee77c70dc500019c7f0f,,705408,44,,evan-feature22,,1
16,2898,45,,,,1,1,1.0,0.0,1.0,0.0,,0.0-42.0,,1.0,379.145,1.0,0.78377078,0.0,0.67965253,1.0,0.537109201,0.0,0.43219395899999996,True,,5c94ee77c70dc500019c7f0f,,715576,45,,evan-feature22,,0
17,2899,46,,,,2,2,0.0,0.0,1.0,0.0,,0.0-43.0,,0.0,462.72,1.0,0.8,0.0,0.6777571290000001,0.0,0.525795655,0.0,0.41902666299999997,True,,5c94ee77c70dc500019c7f0f,,725825,46,,evan-feature22,,1
18,2900,47,,,,2,2,0.0,1.0,1.0,0.0,,0.0-44.0,,0.0,351.12,1.0,0.754949303,0.0,0.6501381039999999,0.0,0.528431942,1.0,0.404639057,True,,5c94ee77c70dc500019c7f0f,,735955,47,,evan-feature22,,0
19,2901,48,,,,SLOW,SLOW,,,0.0,-1.0,,0.0-45.0,,-3.0,,0.0,0.8,1.0,0.655926243,1.0,0.477718095,1.0,0.382683792,True,,5c94ee77c70dc500019c7f0f,,741768,48,,evan-feature22,,1
20,2902,49,,,,SLOW,SLOW,,,1.0,0.0,,0.0-46.0,,-3.0,,0.0,0.743293998,1.0,0.612656833,1.0,0.458332775,1.0,0.437340995,True,,5c94ee77c70dc500019c7f0f,,747583,49,,evan-feature22,,0
